,ParentCountry,ChildCountry,Variant,cantidad_de_movimientos
91,EL SALVADOR,OTHER NORTH AMERICA,Lambda C.37,2
81,ECUADOR,BRAZIL,Lambda C.37,2
80,ECUADOR,BOLIVIA,Omicron XBB.2.6,2
216,PUERTO RICO,UNITED STATES OF AMERICA,Lambda C.37,2
218,SPAIN,ARGENTINA,Lambda C.37,2
181,PERU,JAPAN,Omicron DJ.1,2
187,PERU,OTHER ASIA,Lambda C.37,2
137,OTHER NORTH AMERICA,PERU,Omicron XBB.2.6,2
139,OTHER SOUTH AMERICA,CHILE,Lambda C.37,2
140,OTHER SOUTH AMERICA,PERU,Gamma P.1.12,2
136,OTHER NORTH AMERICA,PERU,Omicron DJ.1,2
142,PANAMA,CHILE,Lambda C.37,2
126,OTHER EUROPE,CHILE,Lambda C.37,2
0,ARGENTINA,BRAZIL,Lambda C.37,2
253,UNITED STATES OF AMERICA,COSTA RICA,Omicron XBB.2.6,2
15,AUSTRALIA,UNITED STATES OF AMERICA,Omicron XBB.2.6,2
257,UNITED STATES OF AMERICA,GERMANY,Omicron DJ.1,2
12,ARGENTINA,SWITZERLAND,Lambda C.37,2
9,ARGENTINA,PERU,Lambda C.37,2
8,ARGENTINA,PANAMA,Lambda C.37,1
16,BELGIUM,OTHER EUROPE,Omicron DJ.1,1
258,UNITED STATES OF AMERICA,GERMANY,Omicron XBB.2.6,1
259,UNITED STATES OF AMERICA,INDIA,Omicron XBB.2.6,1
260,UNITED STATES OF AMERICA,ISRAEL,Lambda C.37,1
261,UNITED STATES OF AMERICA,MEXICO,Gamma P.1.12,1
252,UNITED STATES OF AMERICA,COSTA RICA,Lambda C.37,1
256,UNITED STATES OF AMERICA,FRANCE,Lambda C.37,1
277,UNITED STATES OF AMERICA,SAINT KITTS AND NEVIS,Lambda C.37,1
278,UNITED STATES OF AMERICA,SINT MAARTEN,Lambda C.37,1
7,ARGENTINA,OTHER SOUTH AMERICA,Lambda C.37,1
166,PERU,CZECHIA,Lambda C.37,1
167,PERU,DENMARK,Omicron DJ.1,1
170,PERU,EL SALVADOR,Lambda C.37,1
175,PERU,GERMANY,Omicron DJ.1,1
141,OTHER SOUTH AMERICA,UNITED STATES OF AMERICA,Lambda C.37,1
143,PANAMA,COSTA RICA,Lambda C.37,1
125,OTHER EUROPE,CANADA,Omicron DJ.1,1
127,OTHER EUROPE,MEXICO,Lambda C.37,1
128,OTHER EUROPE,OTHER SOUTH AMERICA,Gamma P.1.12,1
131,OTHER EUROPE,SWEDEN,Omicron DJ.1,1
133,OTHER EUROPE,UNITED STATES OF AMERICA,Lambda C.37,1
134,OTHER EUROPE,UNITED STATES OF AMERICA,Omicron DJ.1,1
135,OTHER NORTH AMERICA,BRAZIL,Lambda C.37,1
138,OTHER NORTH AMERICA,UNITED STATES OF AMERICA,Omicron DJ.1,1
186,PERU,OTHER ASIA,Gamma P.1.12,1
188,PERU,OTHER ASIA,Omicron DJ.1,1
195,PERU,OTHER NORTH AMERICA,Lambda C.37,1
109,JAPAN,OTHER SOUTH AMERICA,Omicron DJ.1,1
110,JAPAN,UNITED STATES OF AMERICA,Omicron DJ.1,1
111,MEXICO,ARGENTINA,Lambda C.37,1
112,MEXICO,ENGLAND,Omicron XBB.2.6,1
113,MEXICO,ISRAEL,Lambda C.37,1
114,MEXICO,ITALY,Gamma P.1.12,1
117,MEXICO,PERU,Lambda C.37,1
120,OTHER ASIA,PERU,Omicron DJ.1,1
122,OTHER ASIA,UNITED STATES OF AMERICA,Omicron XBB.2.6,1
124,OTHER EUROPE,BRAZIL,Gamma P.1.12,1
198,PERU,OTHER OCEANIA,Lambda C.37,1
203,PERU,OTHER SOUTH AMERICA,Omicron DJ.1,1
18,BOLIVIA,UNITED STATES OF AMERICA,Omicron XBB.2.6,1
19,BRAZIL,CHILE,Gamma P.1.12,1
93,ENGLAND,CHILE,Omicron XBB.2.6,1
94,ENGLAND,FRANCE,Omicron XBB.2.6,1
96,FRANCE,ECUADOR,Lambda C.37,1
98,FRANCE,SPAIN,Lambda C.37,1
99,FRANCE,SWITZERLAND,Lambda C.37,1
100,FRANCE,UNITED STATES OF AMERICA,Lambda C.37,1
101,FRANCE,UNITED STATES OF AMERICA,Omicron XBB.2.6,1
102,GERMANY,ARGENTINA,Lambda C.37,1
77,DENMARK,PERU,Omicron DJ.1,1
82,ECUADOR,CHILE,Lambda C.37,1
83,ECUADOR,COLOMBIA,Lambda C.37,1
84,ECUADOR,FRANCE,Lambda C.37,1
85,ECUADOR,ITALY,Lambda C.37,1
86,ECUADOR,PANAMA,Lambda C.37,1
20,BRAZIL,CHILE,Omicron DJ.1,1
22,BRAZIL,GERMANY,Omicron DJ.1,1
24,BRAZIL,PERU,Lambda C.37,1
28,CANADA,CHILE,Omicron XBB.2.6,1
29,CANADA,OTHER EUROPE,Omicron DJ.1,1
32,CANADA,UNITED STATES OF AMERICA,Lambda C.37,1
60,COLOMBIA,CANADA,Lambda C.37,1
63,COLOMBIA,MEXICO,Lambda C.37,1
69,COLOMBIA,UNITED STATES OF AMERICA,Omicron DJ.1,1
70,COSTA RICA,INDIA,Omicron XBB.2.6,1
75,DENMARK,CANADA,Omicron DJ.1,1
76,DENMARK,OTHER EUROPE,Omicron DJ.1,1
217,SINT MAARTEN,SAINT KITTS AND NEVIS,Lambda C.37,1
219,SPAIN,CANARY ISLANDS,Lambda C.37,1
223,SPAIN,ITALY,Lambda C.37,1
224,SPAIN,MEXICO,Lambda C.37,1
225,SPAIN,OTHER AFRICA,Lambda C.37,1
226,SPAIN,OTHER EUROPE,Omicron DJ.1,1
230,SPAIN,UNITED STATES OF AMERICA,Omicron DJ.1,1
42,CHILE,ENGLAND,Omicron XBB.2.6,1
43,CHILE,FRANCE,Lambda C.37,1
44,CHILE,GERMANY,Lambda C.37,1
45,CHILE,MEXICO,Lambda C.37,1
46,CHILE,MEXICO,Omicron XBB.2.6,1
47,CHILE,OTHER ASIA,Lambda C.37,1
49,CHILE,OTHER NORTH AMERICA,Lambda C.37,1
50,CHILE,OTHER NORTH AMERICA,Omicron DJ.1,1
267,UNITED STATES OF AMERICA,OTHER EUROPE,Omicron XBB.2.6,1
269,UNITED STATES OF AMERICA,OTHER NORTH AMERICA,Omicron XBB.2.6,1
270,UNITED STATES OF AMERICA,OTHER SOUTH AMERICA,Lambda C.37,1
271,UNITED STATES OF AMERICA,OTHER SOUTH AMERICA,Omicron XBB.2.6,1
33,CANADA,UNITED STATES OF AMERICA,Omicron DJ.1,1
37,CHILE,ARGENTINA,Omicron XBB.2.6,1
38,CHILE,BRAZIL,Gamma P.1.12,1
40,CHILE,COSTA RICA,Lambda C.37,1
236,SWITZERLAND,ARGENTINA,Lambda C.37,1
239,UNITED STATES OF AMERICA,ARGENTINA,Omicron XBB.2.6,1
240,UNITED STATES OF AMERICA,BELGIUM,Omicron DJ.1,1
241,UNITED STATES OF AMERICA,BOLIVIA,Omicron XBB.2.6,1
280,UNITED STATES OF AMERICA,SPAIN,Omicron DJ.1,1
6,ARGENTINA,OTHER NORTH AMERICA,Lambda C.37,1
2,ARGENTINA,CHILE,Omicron XBB.2.6,1
