ParentRegion,ChildRegion,cantidad_de_movimientos
Madre De Dios,Tumbes,5
Puno,Moquegua,5
Apurimac,Puno,5
Ayacucho,Puno,5
Huancavelica,Lambayeque,5
Ayacucho,San Martin,5
Huancavelica,Moquegua,5
Pasco,Amazonas,5
Amazonas,Puno,4
Puno,Loreto,4
La Libertad,Puno,4
Huancavelica,Tumbes,4
Pasco,Moquegua,4
Puno,Madre De Dios,4
Puno,La Libertad,4
Puno,Tumbes,4
Huancavelica,Puno,4
Tumbes,Moquegua,3
Moquegua,Huancavelica,3
Puno,Lambayeque,3
Puno,Huancavelica,3
Madre De Dios,Puno,3
Puno,Ucayali,3
San Martin,Puno,3
Huancavelica,Amazonas,3
Puno,Huanuco,3
Huancavelica,San Martin,3
Pasco,Apurimac,2
Huancavelica,Pasco,2
Puno,Amazonas,2
Huanuco,Puno,2
Pasco,Puno,2
Puno,Pasco,1
Puno,Ayacucho,1
