ChildDate	ChildRegion	ParentRegion	ParentDate
2021.63559649803	Piura	Lima	2021.63541649803
2021.64381649793	Piura	Lima	2021.64107649793
2021.64107649803	Piura	Lima	2021.64107649793
2021.64107649813	Piura	Lima	2021.64107649803
2021.64107649813	Piura	Lima	2021.64107649803
2021.58901649843	Callao	Lima	2021.58901649833
2021.58901649853	Callao	Lima	2021.58901649843
2021.58901649853	Callao	Lima	2021.58901649843
2021.58901649843	Callao	Lima	2021.58901649833
2021.58901649813	Callao	Lima	2021.58901649803
2021.58901649853	Callao	Lima	2021.58901649843
2021.58901649843	Callao	Lima	2021.58901649833
2021.58901649813	Callao	Lima	2021.58901649803
2021.58901649813	Callao	Lima	2021.58901649803
2021.58901649843	Callao	Lima	2021.58901649833
2021.58901649853	Callao	Lima	2021.58901649843
2021.58901649833	Callao	Lima	2021.58901649823
2021.56435649803	Lima	Ancash	2021.56435649793
2021.67943649793	Junin	Lima	2021.65331649793
2021.77532649793	Lima	Callao	2021.74258649793
2021.80271649793	San Martin	Callao	2021.74258649793
2021.84655649793	Huanuco	Arequipa	2021.71233649793
2021.71778649793	Huanuco	Arequipa	2021.71233649793
2021.80271649793	Huanuco	Arequipa	2021.68655649793
2021.69860649803	Huanuco	Tumbes	2021.69860649793
2021.69860649803	Huanuco	Tumbes	2021.69860649793
2021.59722649803	Lima	Callao	2021.58501649803
2021.59996649803	Lima	Callao	2021.59141649803
2021.60544649813	Lima	Callao	2021.60091649813
2021.77530649813	Loreto	Callao	2021.76950649813
2021.77804649823	Loreto	Piura	2021.77804649813
2021.97256649813	Loreto	Piura	2021.94091649813
2021.94790649813	Loreto	Piura	2021.94091649813
2021.62462649803	Lima	Piura	2021.59547649803
2021.67393649793	Piura	Lima	2021.66941649793
2021.60270649813	Lima	Callao	2021.60270649803
2021.60270649813	Lima	Callao	2021.60270649803
2021.68763649813	Arequipa	Callao	2021.68763649803
2021.77805649803	Arequipa	Callao	2021.76057649803
2021.85750649803	Moquegua	Callao	2021.83553649803
2021.85202649803	Moquegua	Callao	2021.83553649803
2021.73421649803	Moquegua	Callao	2021.72941649803
2021.76161649813	Arequipa	Callao	2021.76161649803
2021.76983649813	Arequipa	Callao	2021.76983649803
2021.77805649803	Arequipa	Callao	2021.76983649803
2021.75613649813	Arequipa	Callao	2021.74649649813
